Time(s),CH1V,CH2V,CH3V
-3.140000e-04,-2.306667e-02,9.568000e-01,6.666667e-04
-3.120000e-04,-3.480000e-02,9.544000e-01,-1.093333e-02
-3.100000e-04,-3.013333e-02,9.428000e-01,-1.093333e-02
-3.080000e-04,-3.013333e-02,9.474667e-01,-1.320000e-02
-3.060000e-04,-3.480000e-02,9.452000e-01,-8.666667e-03
-3.040000e-04,-3.013333e-02,9.474667e-01,-2.480000e-02
-3.020000e-04,-2.306667e-02,9.474667e-01,-8.666667e-03
-3.000000e-04,-2.546667e-02,9.474667e-01,-2.253333e-02
-2.980000e-04,-2.080000e-02,9.521334e-01,-1.093333e-02
-2.960000e-04,-2.546667e-02,9.452000e-01,-2.706667e-02
-2.940000e-04,-3.946667e-02,9.312000e-01,-2.253333e-02
-2.920000e-04,-3.480000e-02,9.452000e-01,-2.480000e-02
-2.900000e-04,-3.946667e-02,9.521334e-01,-8.666667e-03
-2.880000e-04,-3.720000e-02,9.381334e-01,-1.786667e-02
-2.860000e-04,-3.946667e-02,9.289333e-01,-2.013333e-02
-2.840000e-04,-3.253333e-02,9.405333e-01,-1.320000e-02
-2.820000e-04,-3.946667e-02,9.474667e-01,-1.093333e-02
-2.800000e-04,-3.720000e-02,9.358667e-01,-2.946667e-02
-2.780000e-04,-3.946667e-02,9.498667e-01,-2.946667e-02
-2.760000e-04,-3.253333e-02,9.452000e-01,-2.253333e-02
-2.740000e-04,-4.653334e-02,9.452000e-01,-1.320000e-02
-2.720000e-04,-3.013333e-02,9.428000e-01,-1.560000e-02
-2.700000e-04,-2.546667e-02,9.336000e-01,-8.666667e-03
-2.680000e-04,-3.720000e-02,9.428000e-01,-1.320000e-02
-2.660000e-04,-3.480000e-02,9.498667e-01,-1.560000e-02
-2.640000e-04,-3.253333e-02,9.452000e-01,-1.320000e-02
-2.620000e-04,-3.253333e-02,9.498667e-01,-1.786667e-02
-2.600000e-04,-2.546667e-02,9.428000e-01,-1.786667e-02
-2.580000e-04,-3.480000e-02,9.521334e-01,-2.253333e-02
-2.560000e-04,-2.080000e-02,9.428000e-01,-2.253333e-02
-2.540000e-04,-2.786667e-02,9.521334e-01,-1.600000e-03
-2.520000e-04,-2.080000e-02,9.452000e-01,-1.786667e-02
-2.500000e-04,-3.013333e-02,9.498667e-01,-8.666667e-03
-2.480000e-04,-1.613333e-02,9.498667e-01,-1.786667e-02
-2.460000e-04,-3.480000e-02,9.405333e-01,-1.560000e-02
-2.440000e-04,-2.080000e-02,9.428000e-01,-1.786667e-02
-2.420000e-04,-5.826667e-02,9.358667e-01,-3.413333e-02
-2.400000e-04,-1.840000e-02,9.336000e-01,-1.093333e-02
-2.380000e-04,-3.480000e-02,9.381334e-01,-1.560000e-02
-2.360000e-04,-3.480000e-02,9.428000e-01,-2.013333e-02
-2.340000e-04,-2.786667e-02,9.405333e-01,-2.253333e-02
-2.320000e-04,-1.840000e-02,9.544000e-01,-2.013333e-02
-2.300000e-04,-3.720000e-02,9.521334e-01,-1.093333e-02
-2.280000e-04,-2.546667e-02,9.474667e-01,-1.320000e-02
-2.260000e-04,-4.186667e-02,9.544000e-01,-2.706667e-02
-2.240000e-04,-2.786667e-02,9.452000e-01,-6.266667e-03
-2.220000e-04,-2.786667e-02,9.405333e-01,-8.666667e-03
-2.200000e-04,-2.786667e-02,9.428000e-01,-2.946667e-02
-2.180000e-04,-3.480000e-02,9.452000e-01,-1.560000e-02
-2.160000e-04,-1.613333e-02,9.405333e-01,2.933333e-03
-2.140000e-04,-2.306667e-02,9.428000e-01,-2.253333e-02
-2.120000e-04,-2.080000e-02,9.405333e-01,-2.253333e-02
-2.100000e-04,-3.480000e-02,9.381334e-01,-1.560000e-02
-2.080000e-04,-1.840000e-02,9.452000e-01,-1.786667e-02
-2.060000e-04,-3.013333e-02,9.498667e-01,-1.320000e-02
-2.040000e-04,-2.306667e-02,9.381334e-01,-1.320000e-02
-2.020000e-04,-3.013333e-02,9.405333e-01,-1.093333e-02
-2.000000e-04,-1.840000e-02,9.405333e-01,-1.786667e-02
-1.980000e-04,-3.480000e-02,9.405333e-01,-1.093333e-02
-1.960000e-04,-3.253333e-02,9.498667e-01,-1.320000e-02
-1.940000e-04,-2.546667e-02,9.568000e-01,-1.093333e-02
-1.920000e-04,-2.080000e-02,9.474667e-01,-1.786667e-02
-1.900000e-04,-2.786667e-02,9.474667e-01,-8.666667e-03
-1.880000e-04,-2.546667e-02,9.428000e-01,-1.786667e-02
